date,open,high,low,close,ticker
2021-11-08,58.93,59.68,58.295,58.57,DOW
2021-11-09,58.54,59.12,58.395,58.79,DOW
2021-11-10,58.84,59.29,58.49,58.76,DOW
2021-11-11,59.08,59.98,59.02,59.68,DOW
2021-11-12,59.79,60.55,59.46,60.06,DOW
2021-11-15,60.5,60.82,59.78,59.92,DOW
2021-11-16,59.97,59.99,58.84,58.86,DOW
2021-11-17,58.68,58.98,58.17,58.34,DOW
2021-11-18,58.35,58.37,57.67,57.98,DOW
2021-11-19,57.45,57.52,56.03,57.34,DOW
2021-09-13,54.65,55.925,54.62,55.37,XOM
2021-09-14,55.69,55.77,54.41,54.58,XOM
2021-09-15,55.37,56.534,55.31,56.42,XOM
2021-09-16,56.46,56.46,55.5,55.82,XOM
2021-09-17,55.34,56.75,55.1,55.16,XOM
2021-09-20,53.78,54.17,52.96,53.69,XOM
2021-09-21,54.37,54.51,53.25,53.64,XOM
2021-09-22,54.43,55.905,54.37,55.21,XOM
2021-09-23,55.42,57.2399,55.28,57.08,XOM
2021-09-24,56.7,57.82,56.68,57.59,XOM
2021-09-27,58.85,59.8,58.82,59.3,XOM
2021-09-28,59.9,60.48,59.51,59.92,XOM
2021-09-29,59.84,60.1858,59.05,59.88,XOM
2021-09-30,60.12,60.17,58.81,58.82,XOM
2021-10-01,59.41,60.99,59.41,60.93,XOM
2021-10-04,61.32,62.07,60.9499,61.72,XOM
2021-10-05,62.515,62.695,61.02,61.62,XOM
2021-10-06,60.47,61.115,59.75,60.49,XOM
2021-10-07,60.61,61.08,60.14,60.66,XOM
2021-10-08,61.25,62.415,61.25,62.18,XOM
2021-10-11,63.03,63.06,61.5,61.56,XOM
2021-10-12,61.57,61.98,60.85,61.24,XOM
2021-10-13,60.78,61.39,60.21,61.07,XOM
2021-10-14,61.71,62.22,61.17,62.0,XOM
2021-10-15,62.73,63.07,62.44,62.59,XOM
2021-10-18,63.09,63.14,62.27,62.56,XOM
2021-10-19,62.87,63.61,62.67,63.5,XOM
2021-10-20,62.89,63.8725,62.72,63.85,XOM
2021-10-21,63.47,63.64,62.345,62.69,XOM
2021-10-22,62.77,63.22,62.345,63.12,XOM
2021-10-25,63.72,64.415,63.58,64.35,XOM
2021-10-26,64.49,65.94,64.36,65.84,XOM
2021-10-27,65.16,65.25,63.975,64.13,XOM
2021-10-28,63.82,64.47,63.63,64.31,XOM
2021-10-29,65.05,65.36,64.33,64.47,XOM
2021-11-01,65.065,66.0795,65.02,65.63,XOM
2021-11-02,65.03,65.447,64.66,64.82,XOM
2021-11-03,64.04,64.45,63.66,63.93,XOM
2021-11-04,64.675,64.89,63.83,64.41,XOM
2021-11-05,65.05,65.3254,64.56,65.02,XOM
2021-11-08,65.55,66.38,65.38,65.72,XOM
2021-11-09,65.77,66.37,65.31,66.36,XOM
2021-11-10,65.32,65.65,63.773,64.19,XOM
2021-11-11,64.195,64.825,64.02,64.31,XOM
2021-11-12,63.955,64.37,63.58,63.82,XOM
2021-11-15,63.76,64.767,63.22,64.37,XOM
2021-11-16,64.34,65.37,64.34,65.02,XOM
2021-11-17,64.38,65.24,64.18,64.31,XOM
2021-11-18,64.16,64.53,63.11,63.61,XOM
2021-11-19,61.89,62.03,60.41,60.67,XOM
2021-09-13,407.41,409.37,403.8,409.26,GS
2021-09-14,410.3,417.01,402.78,403.69,GS
2021-09-15,398.0,403.61,396.21,401.95,GS
2021-09-16,404.52,405.98,394.89,396.68,GS
2021-09-17,396.32,399.16,388.83,391.46,GS
2021-09-20,377.82,380.86,372.5,378.13,GS
2021-09-21,380.85,381.5,374.08,375.84,GS
2021-09-22,380.8,389.29,379.71,385.47,GS
2021-09-23,390.39,393.74,388.18,391.86,GS
2021-09-24,390.47,392.49,388.6,390.85,GS
2021-09-27,396.58,401.0,395.18,399.81,GS
2021-09-28,400.45,404.21,388.39,389.5,GS
2021-09-29,390.68,392.39,384.3,384.89,GS
2021-09-30,388.0,388.02,376.62,378.03,GS
2021-10-01,379.44,382.72,375.845,380.0,GS
2021-10-04,380.21,386.87,372.82,374.15,GS
